CoDeSys Trace
C:\Users\s182059\Desktop\31342-Introduction-to-programmable-logic-controllers-DTU\Uge9 - Coms\pou.pro
Zeit PLC_PRG.temperaturefloat PLC_PRG.rate 
28560 21.35 -4.999924e-002 
28680 21.35 -4.999924e-002 
28800 21.35 -4.999924e-002 
28920 21.35 -4.999924e-002 
29040 21.35 -5.000019e-002 
29160 21.35 -5.000019e-002 
29280 21.35 -5.000019e-002 
29400 21.35 -5.000019e-002 
29520 21.35 -5.000019e-002 
29640 21.35 -5.000019e-002 
29760 21.25 -5.000019e-002 
29880 21.25 -5.000019e-002 
30000 21.25 -5.000019e-002 
30120 21.25 -5.000019e-002 
30240 21.25 -5.000019e-002 
30360 21.25 -5.000019e-002 
30480 21.25 -5.000019e-002 
30600 21.25 -5.000019e-002 
30720 21.25 -5.000019e-002 
30840 21.25 -5.000019e-002 
30960 21.25 -5.000019e-002 
31080 21.25 -5.000019e-002 
31200 21.25 -5.000019e-002 
31320 21.25 -5.000019e-002 
31440 21.25 -5.000019e-002 
31560 21.25 -5.000019e-002 
31680 21.25 -5.000019e-002 
31800 21.25 -5.000019e-002 
31920 21.25 -5.000019e-002 
32040 21.25 -5.000019e-002 
32160 21.15 -5.000019e-002 
32280 21.15 -5.000019e-002 
32400 21.15 -5.000019e-002 
32520 21.15 -5.000019e-002 
32640 21.15 -5.000019e-002 
32760 21.15 -5.000019e-002 
32880 21.15 -5.000019e-002 
33000 21.15 -5.000019e-002 
33120 21.15 -5.000019e-002 
33240 21.15 -5.000019e-002 
33360 21.15 -5.000019e-002 
33480 21.15 -5.000019e-002 
33600 21.15 -5.000019e-002 
33720 21.15 -5.000019e-002 
33840 21.05 -5.000019e-002 
33960 21.05 -5.000019e-002 
34080 21.05 -5.000019e-002 
34200 21.05 -5.000019e-002 
34320 21.05 -5.000019e-002 
34440 21.05 -5.000019e-002 
34560 21.05 -5.000019e-002 
34680 21.05 -5.000019e-002 
34800 21.05 -5.000019e-002 
34920 21.05 -5.000019e-002 
35040 21.05 -5.000019e-002 
35160 21.05 -5.000019e-002 
35280 21.05 -5.000019e-002 
35400 21.05 -5.000019e-002 
35520 21.05 -5.000019e-002 
35640 21.05 -5.000019e-002 
35760 21.05 -5.000019e-002 
35880 21.05 -5.000019e-002 
36000 21.05 -5.000019e-002 
36120 21.05 -5.000019e-002 
36240 20.95 -5.000019e-002 
36360 20.95 -5.000019e-002 
36480 20.95 -5.000019e-002 
